"","(Intercept)","aspect","dforcore","dfresh","dmarine","elev","pgra","ptcc","pwet","road","slope","df","logLik","AICc","delta","weight"
"454",-5.51141047721164,-0.288936388031875,NA,-1.43180021766246,NA,NA,NA,0.743239067113696,-0.493224750721575,0.446426208747959,NA,6,-128.424100311837,268.880273934099,0,0.0381040386283776
"456",-5.61597434677207,-0.285508831825751,0.252660383724122,-1.501538135542,NA,NA,NA,0.833733863257207,-0.528107804928753,0.42431560942007,NA,7,-127.577975176479,269.198731101621,0.318457167522013,0.0324951774931293
"464",-5.66800459149545,-0.27476208691975,0.299235871723525,-1.45423775541239,0.269733009539478,NA,NA,0.684813855564887,-0.49524916610713,0.39947894393678,NA,8,-126.875860786459,269.806746410517,0.926472476418894,0.023976736291152
"326",-5.36395786540329,-0.285762278154819,NA,-1.32941733013808,NA,NA,NA,0.694229086433077,NA,0.441179387925046,NA,5,-129.995171743316,270.013244249992,1.13297031589315,0.0216246770653716
"462",-5.53990251206639,-0.28073708997207,NA,-1.39687125371606,0.202582397382746,NA,NA,0.618972481852649,-0.463638991308415,0.427836672046874,NA,7,-128.001281625977,270.045344000617,1.16507006651892,0.0212803740956203
"453",-5.47389307870396,NA,NA,-1.4358556214339,NA,NA,NA,0.801533852807567,-0.482966482650349,0.439691864352947,NA,5,-130.277920752538,270.578742268434,1.69846833433547,0.0162987123880131
"966",-5.52409838914844,-0.34667606215745,NA,-1.45518084312014,NA,NA,NA,0.750311677347144,-0.49499633347158,0.436468211623429,-0.124657381372434,7,-128.279720729317,270.602222207297,1.72194827319794,0.0161084848205903
"328",-5.44291073023097,-0.282572690191567,0.218352865405455,-1.37427499596145,NA,NA,NA,0.773578943168328,NA,0.424561209136742,NA,6,-129.336360504688,270.7047943198,1.82452038570096,0.0153031713455959
"455",-5.57348677609098,NA,0.255654568449852,-1.49932937276044,NA,NA,NA,0.888258139539032,-0.518037601104601,0.416305075728659,NA,6,-129.399341689744,270.830756689911,1.95048275581263,0.0143690832126489
"968",-5.63163928948134,-0.349032984342934,0.258328419801466,-1.53062998270005,NA,NA,NA,0.842320681152299,-0.53002100971205,0.411731658492681,-0.138759478433931,8,-127.398122047929,270.851268933459,1.9709949993603,0.014222465296246
"470",-5.51725026297288,-0.289306655644119,NA,-1.44859578132128,NA,0.0391672579752167,NA,0.717415608996303,-0.476831656971491,0.450102455633241,NA,7,-128.410582508203,270.863945765069,1.98367183097037,0.0141326024921913
"486",-5.50659834161749,-0.288617937103265,NA,-1.43827576311091,NA,NA,0.0469132559794403,0.750939287529549,-0.493823547192062,0.446358392461423,NA,7,-128.418303042437,270.879386833536,1.99911289943776,0.0140239113675059
"334",-5.41326701132469,-0.279879897828779,NA,-1.30580934255374,0.228078866339651,NA,NA,0.558363685969926,NA,0.419952437492595,NA,6,-129.429255140236,270.890583590895,2.01030965679632,0.0139456195591852
"336",-5.51976293003428,-0.275007082276343,0.269951784570424,-1.34325399651261,0.289787735327429,NA,NA,0.619271225629304,NA,0.397137031061917,NA,7,-128.479631115018,271.002042978699,2.1217690446008,0.0131896938403092
"472",-5.62438253290519,-0.286049581001659,0.253935036456894,-1.52315178140381,NA,0.0464989885049186,NA,0.803512129556425,-0.50859226587137,0.429229627717888,NA,8,-127.558392844794,271.171810527189,2.29153659309009,0.0121163039645657
"463",-5.63556731889304,NA,0.305272540360478,-1.4517760014638,0.294807352908712,NA,NA,0.722091470893989,-0.491163238856436,0.387988330352963,NA,7,-128.567192797208,271.17716634308,2.29689240898108,0.0120839010233198
"488",-5.61232680710445,-0.285117532227117,0.253140548299555,-1.5113143705883,NA,NA,0.0530251574190727,0.843003272114242,-0.528866212166514,0.424544368341917,NA,8,-127.57058274699,271.196190331581,2.3159163974824,0.0119695039608943
