"","spp","samples","var","scale","AICc","delta"
"pgra090","myse","100","pgra","090",236.502083114019,0
"pgra060","myse","100","pgra","060",236.679658927836,0.1776
"pgra120","myse","100","pgra","120",237.384198238821,0.8821
"pgra150","myse","100","pgra","150",237.663578620796,1.1615
"pgra180","myse","100","pgra","180",238.135201199009,1.6331
"pgra210","myse","100","pgra","210",238.986401658369,2.4843
"pgra240","myse","100","pgra","240",239.381284855806,2.8792
"pgra270","myse","100","pgra","270",239.820558685812,3.3185
"pgra300","myse","100","pgra","300",240.501399990404,3.9993
"pgra330","myse","100","pgra","330",241.221240196787,4.7192
"pgra360","myse","100","pgra","360",241.573964739326,5.0719
